year,sex,type,dt_num,LE,HALE,LE-HALE
2562,male,0,1,70.62426242,64.91458239,5.709680031
2562,male,0,2,70.62801435,64.85325468,5.774759672
2562,male,0,3,70.95057572,65.11142378,5.839151939
2562,male,0,4,72.42296671,66.77899521,5.643971504
2562,male,0,5,72.14111021,66.57160987,5.569500334
2562,male,0,6,72.22614486,66.61619388,5.609950984
2562,male,0,7,70.06102956,63.84987801,6.211151544
2562,male,0,8,70.66617272,64.29488968,6.371283036
2562,male,0,9,71.4965119,64.88002357,6.616488329
2562,male,0,10,71.48830258,64.92873143,6.559571145
2562,male,0,11,73.31074142,66.96759848,6.343142947
2562,male,0,12,72.36889934,66.18040369,6.188495642
2562,male,0,13,76.49710005,70.3086521,6.188447959
2562,female,0,1,78.49719866,69.78907886,8.708119804
2562,female,0,2,78.44104835,69.65085487,8.790193485
2562,female,0,3,78.51687471,69.70186316,8.815011545
2562,female,0,4,79.48115878,70.9640043,8.517154474
2562,female,0,5,79.60071155,71.01697314,8.583738408
2562,female,0,6,79.77949032,71.12186087,8.657629451
2562,female,0,7,77.91132642,69.15447633,8.756850092
2562,female,0,8,77.9397462,69.13362146,8.806124744
2562,female,0,9,79.20046325,69.98177522,9.218688028
2562,female,0,10,78.52720599,69.53457249,8.9926335
2562,female,0,11,81.20163067,71.60608806,9.595542605
2562,female,0,12,80.14612745,70.7978218,9.348305649
2562,female,0,13,83.09505743,72.92322849,10.17182894
2562,male,60,1,19.64931419,15.48657154,4.16274265
2562,male,60,2,20.02197094,15.72402785,4.29794309
2562,male,60,3,20.18910571,15.83313741,4.3559683
2562,male,60,4,20.97697083,16.70933409,4.26763674
2562,male,60,5,20.6128435,16.44540518,4.16743832
2562,male,60,6,20.85616992,16.61577546,4.24039446
2562,male,60,7,19.28828264,14.66186399,4.62641865
2562,male,60,8,19.57944637,14.84957657,4.7298698
2562,male,60,9,20.64219851,15.59051097,5.05168754
2562,male,60,10,20.14179401,15.25357401,4.88822
2562,male,60,11,21.24206055,17.09384196,4.14821859
2562,male,60,12,20.82340013,16.76465122,4.05874891
2562,male,60,13,23.24266019,18.47429302,4.768367165
2562,female,60,1,22.63087489,16.6584201,5.972454796
2562,female,60,2,23.1565135,16.9928245,6.163689006
2562,female,60,3,23.3422369,17.11339778,6.22883912
2562,female,60,4,23.96611155,17.29429103,6.671820523
2562,female,60,5,24.20910681,17.44664497,6.762461846
2562,female,60,6,24.40202462,17.55570957,6.846315051
2562,female,60,7,22.05489349,16.06080617,5.994087315
2562,female,60,8,22.28561072,16.19652784,6.08908288
2562,female,60,9,23.54829217,17.02737704,6.520915127
2562,female,60,10,22.83632113,16.56226072,6.27406041
2562,female,60,11,25.62006857,18.81898505,6.801083523
2562,female,60,12,25.02512011,18.4037201,6.621400008
2562,female,60,13,26.76429783,19.18092148,7.583376354
2563,male,0,1,71.32061476,64.96049845,6.360116308
2563,male,0,2,71.23935537,64.85956169,6.379793681
2563,male,0,3,71.57402105,65.1384002,6.435620841
2563,male,0,4,72.90595676,67.0815051,5.824451667
2563,male,0,5,72.68147909,66.92601717,5.755461917
2563,male,0,6,72.91310741,67.09395406,5.819153349
2563,male,0,7,70.42849925,64.77911406,5.649385186
2563,male,0,8,70.94762156,65.18570412,5.761917444
2563,male,0,9,71.70336262,65.72247639,5.980886228
2563,male,0,10,71.49113456,65.59896369,5.892170871
2563,male,0,11,73.63377243,67.39714135,6.236631083
2563,male,0,12,73.23839924,67.03811993,6.200279317
2563,male,0,13,76.8934232,70.36796528,6.525457924
2563,female,0,1,79.23168692,70.47918086,8.752506059
2563,female,0,2,79.1841563,70.35854466,8.825611633
2563,female,0,3,79.4914515,70.59869383,8.89275767
2563,female,0,4,80.29913047,71.90855623,8.390574244
2563,female,0,5,80.2410141,71.84585058,8.395163517
2563,female,0,6,80.51137175,72.01342666,8.497945096
2563,female,0,7,78.48828957,69.57948353,8.908806043
2563,female,0,8,78.44114429,69.52928287,8.911861416
2563,female,0,9,79.53997161,70.25687854,9.28309307
2563,female,0,10,78.87619904,69.81367342,9.062525619
2563,female,0,11,81.3706991,72.40424892,8.966450185
2563,female,0,12,81.24294517,72.2875395,8.955405666
2563,female,0,13,83.45000023,73.85662685,9.593373379
2563,male,60,1,20.06071351,15.39598302,4.664730481
2563,male,60,2,20.24761289,15.50173029,4.745882607
2563,male,60,3,20.35743116,15.5836182,4.773812962
2563,male,60,4,21.108212,16.56886393,4.539348068
2563,male,60,5,20.83419323,16.38583151,4.448361717
2563,male,60,6,21.06050893,16.53671511,4.523793821
2563,male,60,7,19.56837615,14.99225731,4.576118837
2563,male,60,8,19.6521064,15.0498792,4.602227198
2563,male,60,9,20.61147176,15.71459736,4.896874402
2563,male,60,10,20.12311329,15.38769264,4.735420654
2563,male,60,11,21.27945555,16.83750073,4.441954821
2563,male,60,12,21.22512155,16.76976528,4.455356273
2563,male,60,13,23.53764211,18.40905329,5.128588819
2563,female,60,1,23.26771279,17.09017972,6.177533069
2563,female,60,2,23.66073896,17.32643511,6.334303853
2563,female,60,3,23.82957032,17.4402446,6.389325725
2563,female,60,4,24.44294322,17.76717783,6.675765393
2563,female,60,5,24.51297372,17.81249231,6.700481416
2563,female,60,6,24.78459197,17.97635125,6.808240724
2563,female,60,7,22.50745165,16.21254841,6.294903239
2563,female,60,8,22.60810958,16.27223686,6.335872713
2563,female,60,9,23.66475425,16.95276416,6.71199009
2563,female,60,10,23.01329418,16.53463999,6.478654194
2563,female,60,11,25.68876266,19.11495131,6.57381135
2563,female,60,12,25.70938538,19.11542891,6.593956472
2563,female,60,13,27.02113782,19.56370793,7.457429893
2564,male,0,1,70.99701864,64.17143195,6.825586686
2564,male,0,2,69.906235,63.29805405,6.60818095
2564,male,0,3,70.3342335,63.62618329,6.708050219
2564,male,0,4,71.15869678,65.68879731,5.46989947
2564,male,0,5,70.95701724,65.54546671,5.411550529
2564,male,0,6,71.09469213,65.65580612,5.438886005
2564,male,0,7,69.51479669,64.72131731,4.793479376
2564,male,0,8,70.05321037,65.15907856,4.894131814
2564,male,0,9,70.73465928,65.62335403,5.11130525
2564,male,0,10,70.30774019,65.32851651,4.979223681
2564,male,0,11,72.506894,66.67681002,5.830083974
2564,male,0,12,71.37380195,65.8357728,5.538029154
2564,male,0,13,73.0224577,67.32179918,5.700658517
2564,female,0,1,79.10293085,70.55782367,8.545107177
2564,female,0,2,78.57529139,70.11545633,8.459835058
2564,female,0,3,78.26832429,69.89507105,8.373253235
2564,female,0,4,78.46454551,70.97525974,7.489285768
2564,female,0,5,78.51338668,70.99245095,7.520935731
2564,female,0,6,78.67315752,71.10900609,7.564151428
2564,female,0,7,78.20110272,69.38046369,8.820639035
2564,female,0,8,77.88899951,69.12785661,8.761142893
2564,female,0,9,78.94235016,69.84752189,9.094828266
2564,female,0,10,78.29124801,69.41272624,8.878521773
2564,female,0,11,80.64421113,72.39517677,8.249034356
2564,female,0,12,78.89551229,71.14137663,7.754135662
2564,female,0,13,80.25926235,72.42919162,7.830070735
2564,male,60,1,19.73537846,14.7200835,5.015294957
2564,male,60,2,19.39439204,14.45627992,4.938112114
2564,male,60,3,19.71761218,14.68144954,5.036162641
2564,male,60,4,19.61026979,15.30156216,4.308707633
2564,male,60,5,19.38267968,15.15815258,4.224527103
2564,male,60,6,19.39755032,15.15628599,4.241264337
2564,male,60,7,19.06099887,14.77929907,4.281699796
2564,male,60,8,19.13935378,14.84386979,4.295483991
2564,male,60,9,20.22111298,15.58606519,4.635047785
2564,male,60,10,19.60534244,15.3415051,4.263837333
2564,male,60,11,20.5871594,16.07662657,4.510532833
2564,male,60,12,19.3935722,15.20329854,4.190273651
2564,male,60,13,19.60534244,15.48723747,4.118104968
2564,female,60,1,23.20646798,17.06481809,6.14164989
2564,female,60,2,23.24481592,17.07193209,6.17288383
2564,female,60,3,23.05837116,16.94379794,6.114573222
2564,female,60,4,23.03632537,17.02727635,6.009049024
2564,female,60,5,23.22319999,17.14871669,6.074483292
2564,female,60,6,23.27307762,17.17793484,6.095142777
2564,female,60,7,22.44980239,16.03421168,6.415590719
2564,female,60,8,22.40852745,15.99689073,6.41163672
2564,female,60,9,23.34285201,16.60016004,6.742691977
2564,female,60,10,22.69036737,16.18030573,6.510061637
2564,female,60,11,25.06095482,18.76039847,6.300556357
2564,female,60,12,23.61191206,17.77067309,5.841238975
2564,female,60,13,24.05472797,17.85135106,6.203376914
2565,male,0,1,69.87238275,64.22520263,5.647180116
2565,male,0,2,69.43366435,63.8566314,5.577032951
2565,male,0,3,69.45650443,63.87002272,5.586481704
2565,male,0,4,71.59286269,66.17169567,5.42116702
2565,male,0,5,70.81264847,65.55882834,5.253820125
2565,male,0,6,71.29731136,65.95379494,5.343516414
2565,male,0,7,68.97933224,63.27793716,5.701395085
2565,male,0,8,69.18133777,63.42284629,5.758491473
2565,male,0,9,69.63157448,63.75184181,5.879732676
2565,male,0,10,69.6029186,63.75719937,5.845719233
2565,male,0,11,71.52300631,65.67716557,5.845840748
2565,male,0,12,70.85752132,65.121037,5.73648432
2565,male,0,13,75.13624409,69.27510879,5.861135298
2565,female,0,1,78.17913534,69.65751822,8.521617123
2565,female,0,2,77.4849037,69.10942072,8.37548299
2565,female,0,3,77.5457271,69.13340812,8.412318979
2565,female,0,4,78.82845101,70.72497493,8.103476082
2565,female,0,5,78.53847604,70.47689092,8.061585123
2565,female,0,6,78.73511782,70.62421564,8.110902176
2565,female,0,7,77.35290116,68.80241014,8.550491017
2565,female,0,8,77.04370808,68.53610533,8.507602747
2565,female,0,9,77.7568333,69.03636901,8.720464295
2565,female,0,10,77.30160543,68.71689949,8.584705936
2565,female,0,11,79.17950826,70.48497243,8.69453583
2565,female,0,12,78.36289534,69.86963234,8.493262998
2565,female,0,13,82.02110086,72.55822127,9.462879591
2565,male,60,1,18.85813432,14.81940294,4.038731382
2565,male,60,2,18.68540671,14.67600724,4.009399468
2565,male,60,3,18.75673946,14.72817496,4.028564499
2565,male,60,4,19.74687684,15.72702167,4.019855179
2565,male,60,5,19.12760669,15.27391406,3.853692638
2565,male,60,6,19.34157047,15.43075316,3.910817306
2565,male,60,7,18.3998619,14.09586166,4.304000246
2565,male,60,8,18.40629891,14.10552776,4.300771152
2565,male,60,9,19.01603676,14.52831402,4.487722738
2565,male,60,10,18.66486845,14.28678785,4.378080604
2565,male,60,11,19.4800041,15.71166281,3.76834129
2565,male,60,12,19.12186696,15.43059926,3.691267703
2565,male,60,13,21.43212436,17.06590282,4.366221545
2565,female,60,1,22.31079809,16.47576029,5.8350378
2565,female,60,2,22.09562902,16.31462653,5.781002492
2565,female,60,3,22.28205932,16.4317099,5.850349414
2565,female,60,4,23.09570323,16.8224559,6.273247336
2565,female,60,5,23.08824929,16.81046515,6.277784143
2565,female,60,6,23.17197828,16.85843343,6.313544853
2565,female,60,7,21.61004739,15.74776418,5.862283206
2565,female,60,8,21.57645205,15.70698466,5.869467394
2565,female,60,9,22.20157196,16.12150176,6.080070198
2565,female,60,10,21.83486938,15.88207173,5.952797653
2565,female,60,11,23.68535078,17.65330588,6.032044903
2565,female,60,12,23.1478741,17.28158731,5.866286795
2565,female,60,13,25.36470055,18.39565898,6.969041572
